recipient-country-code,recipient-country,recipient-country-percentage,transaction-type,transaction-date,default-currency,transaction-value,transaction_ref,transaction_value_currency,transaction_value_value-date,transaction_provider-org,transaction_provider-org_ref,transaction_provider-org_provider-activity-id,transaction_receiver-org,transaction_receiver-org_ref,transaction_receiver-org_receiver-activity-id,transaction_description,transaction_flow-type_code,transaction_finance-type_code,transaction_aid-type_code,transaction_tied-status_code,transaction_disbursement-channel_code,transaction_recipient-country-code,transaction_recipient-country,transaction_recipient-region-code,transaction_recipient-region,transaction_sector-code,transaction_sector,transaction_sector-vocabulary,transaction_sector-vocabulary-code,iati-identifier,hierarchy,last-updated-datetime,default-language,reporting-org,reporting-org-ref,reporting-org-type,reporting-org-type-code,title,description,activity-status-code,start-planned,end-planned,start-actual,end-actual,participating-org (Accountable),participating-org-ref (Accountable),participating-org-type (Accountable),participating-org-type-code (Accountable),participating-org (Funding),participating-org-ref (Funding),participating-org-type (Funding),participating-org-type-code (Funding),participating-org (Extending),participating-org-ref (Extending),participating-org-type (Extending),participating-org-type-code (Extending),participating-org (Implementing),participating-org-ref (Implementing),participating-org-type (Implementing),participating-org-type-code (Implementing),recipient-region-code,recipient-region,recipient-region-percentage,sector-code,sector,sector-percentage,sector-vocabulary,sector-vocabulary-code,collaboration-type-code,default-finance-type-code,default-flow-type-code,default-aid-type-code,default-tied-status-code
IN,India,,D,2014-11-05,EUR,7737,,EUR,2014-11-05,Ministry of Foreign Affairs The Netherlands,,,Leena Chakrabarti,,,,,,,,,,,,,,,,,NL-2-1008439,1,2014-04-03 00:00:00,en,HIVOS,NL-KVK-41198677,National NGO,22,Private Sector Engagement,,2,,,2014-01-19,2014-06-30,,,,,,,,,,,,,Leena Chakrabarti,,,,,,,311;250;240;160;151,;;;;,35;15;10;20;20,OECD Development Assistance Committee 3 digit codes;OECD Development Assistance Committee 3 digit codes;OECD Development Assistance Committee 3 digit codes;OECD Development Assistance Committee 3 digit codes;OECD Development Assistance Committee 3 digit codes,DAC-3;DAC-3;DAC-3;DAC-3;DAC-3,,,,,
IN,India,,D,2014-04-03,EUR,10795,,EUR,2014-04-03,Ministry of Foreign Affairs The Netherlands,,,Leena Chakrabarti,,,,,,,,,,,,,,,,,NL-2-1008439,1,2014-04-03 00:00:00,en,HIVOS,NL-KVK-41198677,National NGO,22,Private Sector Engagement,,2,,,2014-01-19,2014-06-30,,,,,,,,,,,,,Leena Chakrabarti,,,,,,,311;250;240;160;151,;;;;,35;15;10;20;20,OECD Development Assistance Committee 3 digit codes;OECD Development Assistance Committee 3 digit codes;OECD Development Assistance Committee 3 digit codes;OECD Development Assistance Committee 3 digit codes;OECD Development Assistance Committee 3 digit codes,DAC-3;DAC-3;DAC-3;DAC-3;DAC-3,,,,,
IN,India,100,C,2004-07-01,USD,5785461.475632,,,2004-07-01,,,,,,,,,,,,,,,,,,,,,SE-0-SE-6-4310000501-IND-14030,2,2015-09-22 00:00:00,en,Sweden,SE-0,Government,10,UNICEF CEP,"Aktiviteten ""UNICEF CEP"" saknar en beskrivande text. Kontrollera om det finns dokument knutna till aktiviteten eller kontakta Sida för att få mer information. Ring 08–698 50 00 eller skicka e-post till sida@sida.se.",4,,,2004-07-01,2009-06-28,UNICEF Childrens Fund,,,,Sweden,SE-0,Government,10,Swedish International Development Cooperation Agency,SE-6,Government,10,United Nations Childrens Fund,41122,Multilateral,40,,,,14030,Basic drinking water supply and basic sanitation,100,OECD Development Assistance Committee,DAC,1,110,10,B03,5
IN,India,100,D,2004-12-28,USD,952899.537163,,,2004-01-01,,,,,,,,,,,,,,,,,,,,,SE-0-SE-6-4310000501-IND-14030,2,2015-09-22 00:00:00,en,Sweden,SE-0,Government,10,UNICEF CEP,"Aktiviteten ""UNICEF CEP"" saknar en beskrivande text. Kontrollera om det finns dokument knutna till aktiviteten eller kontakta Sida för att få mer information. Ring 08–698 50 00 eller skicka e-post till sida@sida.se.",4,,,2004-07-01,2009-06-28,UNICEF Childrens Fund,,,,Sweden,SE-0,Government,10,Swedish International Development Cooperation Agency,SE-6,Government,10,United Nations Childrens Fund,41122,Multilateral,40,,,,14030,Basic drinking water supply and basic sanitation,100,OECD Development Assistance Committee,DAC,1,110,10,B03,5
IN,India,100,D,2005-12-28,USD,936780.686258,,,2005-01-01,,,,,,,,,,,,,,,,,,,,,SE-0-SE-6-4310000501-IND-14030,2,2015-09-22 00:00:00,en,Sweden,SE-0,Government,10,UNICEF CEP,"Aktiviteten ""UNICEF CEP"" saknar en beskrivande text. Kontrollera om det finns dokument knutna till aktiviteten eller kontakta Sida för att få mer information. Ring 08–698 50 00 eller skicka e-post till sida@sida.se.",4,,,2004-07-01,2009-06-28,UNICEF Childrens Fund,,,,Sweden,SE-0,Government,10,Swedish International Development Cooperation Agency,SE-6,Government,10,United Nations Childrens Fund,41122,Multilateral,40,,,,14030,Basic drinking water supply and basic sanitation,100,OECD Development Assistance Committee,DAC,1,110,10,B03,5
IN,India,100,D,2006-12-28,USD,1220620.346384,,,2006-01-01,,,,,,,,,,,,,,,,,,,,,SE-0-SE-6-4310000501-IND-14030,2,2015-09-22 00:00:00,en,Sweden,SE-0,Government,10,UNICEF CEP,"Aktiviteten ""UNICEF CEP"" saknar en beskrivande text. Kontrollera om det finns dokument knutna till aktiviteten eller kontakta Sida för att få mer information. Ring 08–698 50 00 eller skicka e-post till sida@sida.se.",4,,,2004-07-01,2009-06-28,UNICEF Childrens Fund,,,,Sweden,SE-0,Government,10,Swedish International Development Cooperation Agency,SE-6,Government,10,United Nations Childrens Fund,41122,Multilateral,40,,,,14030,Basic drinking water supply and basic sanitation,100,OECD Development Assistance Committee,DAC,1,110,10,B03,5
IN,India,100,D,2007-12-28,USD,1331853.496115,,,2007-01-01,,,,,,,,,,,,,,,,,,,,,SE-0-SE-6-4310000501-IND-14030,2,2015-09-22 00:00:00,en,Sweden,SE-0,Government,10,UNICEF CEP,"Aktiviteten ""UNICEF CEP"" saknar en beskrivande text. Kontrollera om det finns dokument knutna till aktiviteten eller kontakta Sida för att få mer information. Ring 08–698 50 00 eller skicka e-post till sida@sida.se.",4,,,2004-07-01,2009-06-28,UNICEF Childrens Fund,,,,Sweden,SE-0,Government,10,Swedish International Development Cooperation Agency,SE-6,Government,10,United Nations Childrens Fund,41122,Multilateral,40,,,,14030,Basic drinking water supply and basic sanitation,100,OECD Development Assistance Committee,DAC,1,110,10,B03,5
IN,India,100,D,2008-12-28,USD,1197658.577481,,,2008-01-01,,,,,,,,,,,,,,,,,,,,,SE-0-SE-6-4310000501-IND-14030,2,2015-09-22 00:00:00,en,Sweden,SE-0,Government,10,UNICEF CEP,"Aktiviteten ""UNICEF CEP"" saknar en beskrivande text. Kontrollera om det finns dokument knutna till aktiviteten eller kontakta Sida för att få mer information. Ring 08–698 50 00 eller skicka e-post till sida@sida.se.",4,,,2004-07-01,2009-06-28,UNICEF Childrens Fund,,,,Sweden,SE-0,Government,10,Swedish International Development Cooperation Agency,SE-6,Government,10,United Nations Childrens Fund,41122,Multilateral,40,,,,14030,Basic drinking water supply and basic sanitation,100,OECD Development Assistance Committee,DAC,1,110,10,B03,5
IN,India,100,D,2010-12-28,USD,-17866.254755,,,2010-01-01,,,,,,,,,,,,,,,,,,,,,SE-0-SE-6-4310000501-IND-14030,2,2015-09-22 00:00:00,en,Sweden,SE-0,Government,10,UNICEF CEP,"Aktiviteten ""UNICEF CEP"" saknar en beskrivande text. Kontrollera om det finns dokument knutna till aktiviteten eller kontakta Sida för att få mer information. Ring 08–698 50 00 eller skicka e-post till sida@sida.se.",4,,,2004-07-01,2009-06-28,UNICEF Childrens Fund,,,,Sweden,SE-0,Government,10,Swedish International Development Cooperation Agency,SE-6,Government,10,United Nations Childrens Fund,41122,Multilateral,40,,,,14030,Basic drinking water supply and basic sanitation,100,OECD Development Assistance Committee,DAC,1,110,10,B03,5
IN,India,100,C,1999-01-01,USD,68108.274935,,,1999-01-01,,,,,,,,,,,,,,,,,,,,,SE-0-SE-6-7400030201-IND-12110,2,2015-09-22 00:00:00,en,Sweden,SE-0,Government,10,SFRV Syd 1999,"Aktiviteten ""SFRV Syd 1999"" saknar en beskrivande text. Kontrollera om det finns dokument knutna till aktiviteten eller kontakta Sida för att få mer information. Ring 08–698 50 00 eller skicka e-post till sida@sida.se.",4,,,1999-01-01,2000-06-28,Svenska kyrkan,,,,Sweden,SE-0,Government,10,Swedish International Development Cooperation Agency,SE-6,Government,10,Donor country-based NGO,22000,National NGO,22,,,,12110,Health policy and administrative management,100,OECD Development Assistance Committee,DAC,1,110,10,C01,
