"","iati.identifier","hierarchy","last.updated.datetime","default.language","reporting.org","reporting.org.ref","reporting.org.type","reporting.org.type.code","title","description","activity.status.code","start.planned","end.planned","start.actual","end.actual","participating.org..Accountable.","participating.org.ref..Accountable.","participating.org.type..Accountable.","participating.org.type.code..Accountable.","participating.org..Funding.","participating.org.ref..Funding.","participating.org.type..Funding.","participating.org.type.code..Funding.","participating.org..Extending.","participating.org.ref..Extending.","participating.org.type..Extending.","participating.org.type.code..Extending.","participating.org..Implementing.","participating.org.ref..Implementing.","participating.org.type..Implementing.","participating.org.type.code..Implementing.","recipient.country.code","recipient.country","recipient.country.percentage","recipient.region.code","recipient.region","recipient.region.percentage","sector.code","sector","sector.percentage","sector.vocabulary","sector.vocabulary.code","collaboration.type.code","default.finance.type.code","default.flow.type.code","default.aid.type.code","default.tied.status.code","default.currency","currency","total.Commitment","total.Disbursement","total.Expenditure","total.Incoming.Funds","total.Interest.Repayment","total.Loan.Repayment","total.Reimbursement"
"1","GB-CHC-274467-2IND-PJ-00117",1,"2013-06-14 00:00:00","en","ActionAid UK","GB-CHC-274467","International NGO","21","Integrated community psychosocial resilience and livelihood support to affected people due to prevailing situation in Jammu & Kashmir 2011-12","Improve vulnerable people's resilience in coping and recovering from the affects of the prevailing situation in Kashmir 2011-12","3","","","2011-11-01","2012-10-31","ActionAid UK",NA,NA,NA,"European Community Humanitarian Office (ECHO)",NA,"",NA,"",NA,NA,NA,"ActionAid India",NA,NA,NA,"IN","India","",NA,"",NA,NA,"",NA,"","",NA,NA,30,"C01",NA,"GBP","EUR",208333,"0","0","54609",0,0,0
"2","GB-CHC-274467-2IND-PJ-00127",1,"2013-06-14 00:00:00","en","ActionAid UK","GB-CHC-274467","International NGO","21","Extending humanitarian support and rebuilding the lives of the flood survivors in Uttar Pradesh","Support to the early recovery and rehabilitation of the affected people by the floods in Uttar Pradesh.","3","","","2011-11-01","2012-04-30","ActionAid UK",NA,NA,NA,"ECHO",NA,"",NA,"",NA,NA,NA,"ActionAid India",NA,NA,NA,"IN","India","",NA,"",NA,NA,"",NA,"","",NA,NA,30,"C01",NA,"GBP","EUR",133333,"0","0","0",0,0,0
"3","GB-CHC-274467-2IND-PJ-00134",1,"2013-06-14 00:00:00","en","ActionAid UK","GB-CHC-274467","International NGO","21","Extending humanitarian protection and livelihood support to internally displaced tribals in Khammam district of Andhra Pradesh: 2012-13, India","To continue to strategically cover IDP settlements with food support, primary health care support and
access to safe drinking water coupled with sanitation and human security, which is essential to leading a life of dignity","2","","2013-12-31","2013-04-01","","ActionAid UK",NA,NA,NA,"European Community Humanitarian Office",NA,"",NA,"",NA,NA,NA,"ActionAid India",NA,NA,NA,"IN","India","",NA,"",NA,NA,"",NA,"","",NA,NA,30,"C01",NA,"GBP","EUR",285000,"0","0","228000",0,0,0
"4","GB-CHC-274467-2IND-PJ-00140",1,"2013-06-14 00:00:00","en","ActionAid UK","GB-CHC-274467","International NGO","21","Humanitarian assistance to vulnerable population affected by flood in Assam","This is an emergency response programme for the flood affected population in 6 districts of Assam. ","3","","","2012-08-15","2013-02-14","ActionAid UK ",NA,NA,NA,"European Community Humanitarian Office (ECHO)",NA,"",NA,"",NA,NA,NA,"ActionAid India",NA,NA,NA,"IN","India","",NA,"",NA,NA,"",NA,"","",NA,NA,30,"C01",NA,"GBP","EUR",225000,"0","0","0",0,0,0
"5","GB-CHC-274467-2IND-PJ-00143",1,"2013-06-14 00:00:00","en","ActionAid UK","GB-CHC-274467","International NGO","21","Community based psychosocial care and rehabilitation of the affected people due to the prevailing situation in Kashmir, India","Improve communities' resilience in coping and recovering from the psychosocial and economic effects as a consequence of conflict","2","","2013-10-31","2012-11-01","","ActionAid UK",NA,NA,NA,"European Community Humanitarian Office (ECHO)",NA,"",NA,"",NA,NA,NA,"ActionAid India",NA,NA,NA,"IN","India","",NA,"",NA,NA,"",NA,"","",NA,NA,30,"C01",NA,"GBP","EUR",50000,"0","0","240000",0,0,0
"6","GB-CHC-274467-2IND-PM-00106",1,"2013-06-14 00:00:00","en","ActionAid UK","GB-CHC-274467","International NGO","21","Enhancing poor and excluded women’s access to and control  over land as a strategy for empowerment and fighting hunger","","2","","2013-11-01","2010-11-02","","ActionAid UK",NA,NA,NA,"EC",NA,"",NA,"",NA,NA,NA,"ActionAid India",NA,NA,NA,"IN;GT;SL","India;Guatemala;Sierra Leone",";;",NA,"",NA,NA,"",NA,"","",NA,NA,30,"C01",NA,"GBP","",0,"0","0","0",0,0,0
"7","GB-CHC-274467-5GBR-PM-00044",1,"2013-06-18 00:00:00","en","ActionAid UK","GB-CHC-274467","International NGO","21","Strengthening the international food security network (IFSN 2) for an increased Food and nutritional security ","Strengthening the international food security network (IFSN) for an increased Food and nutritional security ","3","","","2009-10-06","2012-11-30","ActionAid UK",NA,NA,NA,"EC (UK)",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"BD;BF;KH;ET;GH;IN;MW;MZ;PT;NL;PK;FR;SN;GM;UG;VN","Bangladesh;Burkina Faso;Cambodia;Ethiopia;Ghana;India;Malawi;Mozambique;Portugal;Netherlands;Pakistan;France;Senegal;Gambia;Uganda;Viet Nam",";;;;;;;;;;;;;;;",NA,"",NA,NA,"",NA,"","",NA,NA,30,"C01",NA,"GBP","",0,"0","0","0",0,0,0
"8","GB-CHC-274467-CS-REB005-R-2101-IN",NA,"2014-06-24 00:00:00","en","ActionAid United Kingdom","GB-CHC-274467","International NGO","21","Child Sponsorship","Income from individuals to support children and their communities","2","2013-01-01","2013-12-31","","","",NA,NA,NA,"Community Fundraising Groups",NA,"",NA,"ActionAid India",NA,NA,NA,"ActionAid India",NA,NA,NA,"IN","India","","689","South and Central Asia, regional",NA,"15150","Democratic participation and civil society",NA,"OECD Development Assistance Committee","DAC",NA,NA,NA,"",NA,"GBP","GBP",0,"0","0","328",0,0,0
"9","GB-CHC-274467-CS-REB031-R-2113-IN",NA,"2014-06-24 00:00:00","en","ActionAid United Kingdom","GB-CHC-274467","International NGO","21","Other Committed Giving","Other forms of Regular Giving","2","2013-01-01","2013-12-31","","","",NA,NA,NA,"Private Individuals",NA,"",NA,"ActionAid India",NA,NA,NA,"ActionAid India",NA,NA,NA,"IN","India","","689","South and Central Asia, regional",NA,"15150","Democratic participation and civil society",NA,"OECD Development Assistance Committee","DAC",NA,NA,NA,"",NA,"GBP","GBP",0,"0","0","76",0,0,0
"10","GB-CHC-274467-CS-REK000-R-2101-IN",NA,"2014-06-24 00:00:00","en","ActionAid United Kingdom","GB-CHC-274467","International NGO","21","Child Sponsorship","Income from individuals to support children and their communities","2","2013-01-01","2013-12-31","","","",NA,NA,NA,"Private Individuals",NA,"",NA,"ActionAid India",NA,NA,NA,"ActionAid India",NA,NA,NA,"IN","India","","689","South and Central Asia, regional",NA,"15150","Democratic participation and civil society",NA,"OECD Development Assistance Committee","DAC",NA,NA,NA,"",NA,"GBP","GBP",0,"0","0","964158",0,0,0
