aid,title,reporting,commitment,spend,currency
XM-DAC-701-8-2012003021,Delhi Mass Rapid Transport System Project Phase 3,Japan - Japan International Cooperation Agency (JICA),1531100217,0,USD
44000-P124639,IN: PMGSY Rural Roads Project,The World Bank,1399999877,997601527,USD
XM-DAC-701-8-2013003052,Dedicated Freight Corridor Project (Phase 2) (II),Japan - Japan International Cooperation Agency (JICA),1397637873,0,USD
XM-DAC-701-8-2014003046,Delhi Mass Rapid Transport System Project Phase 3 (II),Japan - Japan International Cooperation Agency (JICA),1347277887,0,USD
44000-P131765,IN: Eastern Ded Freight Corridor II,The World Bank,1100000000,250000,USD
44000-P144447,IN: SSA III,The World Bank,1006200000,498230152,USD
46004-36343-013-LN2281,RURAL COOPERATIVE CREDIT RESTRUCTURING AND DEVELOPMENT PROGRAM,Asian Development Bank,1000000000,800000000,USD
44000-P115566,IN: POWERGRID V,The World Bank,1000000000,664009669,USD
44000-P119085,IN: National Ganga River Basin Project,The World Bank,1000000000,64853685,USD
44000-P101653,IN: Power System Development  Project IV,The World Bank,976864011,976864011,USD
44000-P114338,IN: Eastern Dedicated Freight Corridor-I,The World Bank,975000000,113244994,USD
XM-DAC-701-8-2012003067,Tamil Nadu Transmission System Improvement Project,Japan - Japan International Cooperation Agency (JICA),774102657,0,USD
44000-P150158,P150158-IN: EDFC-3,The World Bank,650000000,0,USD
44000-P096124,IN: Vishnugad Pipalkoti HEP,The World Bank,648000000,32805868,USD
XM-DAC-701-8-2013003080,Mumbai Metro Line 3 Project,Japan - Japan International Cooperation Agency (JICA),647269068,0,USD
44000-P104164,IN: National Rural Livelihoods Project,The World Bank,549696291,177902880,USD
44000-P086518,IN: SME Financing,The World Bank,520000000,520000000,USD
XM-DAC-701-8-2013003054,Chennai Metro Project (III),Japan - Japan International Cooperation Agency (JICA),500012039,48853304,USD
44000-P118445,IN: Secondary Education Program,The World Bank,500000000,374051397,USD
44000-P121185,Natl Highways Inter-Conn,The World Bank,500000000,22340453,USD
44000-P132173,IN: RWSS for Low Income States,The World Bank,500000000,4484121,USD
44000-P151544,MSME Innovation and Inclusion Project,The World Bank,500000000,1250000,USD
46004-44426-014-LN2787,NATIONAL GRID IMPROVEMENT PROJECT,Asian Development Bank,500000000,154680920,USD
44000-P090768,IN: TN IAM WARM,The World Bank,485000000,440598545,USD
GB-1-114487-101,Financial Aid for Universal Elementary Education (SARVA SHIKSHA ABHIYAN II),UK - Department for International Development (DFID),473557977,380193879,USD
XM-DAC-701-8-2012003069,Rajasthan Rural Water Supply,Japan - Japan International Cooperation Agency (JICA),468244822,0,USD
47045-IDA-405-G06-H,Accessing the Antiretroviral treatment to HIV/AIDS infected persons in six high prevalence States and NCT Delhi,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",452284617,833778035,USD
44000-P100954,IN: AP Water Sector Improvement Proj,The World Bank,450599999,156628097,USD
46004-41127-013-LN2443,BIHAR STATE HIGHWAYS PROJECT,Asian Development Bank,419999999,351520000,USD
44000-P102768,IN: Stren India's Rural Credit Coops,The World Bank,416058238,417282442,USD
44000-P095114,IN: Rampur Hydropower Project,The World Bank,400000000,400000001,USD
44000-P150395,TN Sustainable Urban Development Program,The World Bank,400000000,0,USD
46004-39630-023-LN2415,MFF: NATIONAL POWER GRID DEVELOPMENT INVESTMENT PROGRAM - TRANCHE,Asian Development Bank,400000000,400000000,USD
46004-44453-014-LN2926,WEST BENGAL DEVELOPMENT FINANCE PROGRAM,Asian Development Bank,400000000,400000000,USD
46004-47083-002-LN3048,MFF:ACCELERATING INFRASTRUCTURE INVSTMNT FCLTY IN INDIA-TRANCHE1,Asian Development Bank,400000000,230535457,USD
44000-P073370,IN: Madhya Pradesh Water Sector Restruct,The World Bank,387402287,337187822,USD
44000-P122770,IN: UP WSRP II,The World Bank,360000000,36186409,USD
44000-P092217,IN:National Cyclone Risk Mitigation Proj,The World Bank,359000000,108106518,USD
44000-P107649,IN:Karnataka State Highway Improv Pro II,The World Bank,350000000,79330942,USD
46004-47100-004-LN3066,MADHYA PRADESH POWER TRANSMISSION,Asian Development Bank,350000000,38431977,USD
46004-47270-001-LN3189,MADHYA PRADESH DISTRICT CONNECTIVITY SECTOR,Asian Development Bank,350000000,0,USD
44000-P113028,IN: Mumbai Urban Transport Project-2A,The World Bank,344000000,134407829,USD
XM-DAC-701-8-2012003086,Delhi Water Supply Improvement Project,Japan - Japan International Cooperation Agency (JICA),341618380,0,USD
44000-P110051,IN: Haryana Power System Improv Project,The World Bank,330000000,201893353,USD
GB-1-107908-101,Reproductive Child Health Programme Phase  II - Financial Aid,UK - Department for International Development (DFID),323963155,262023040,USD
44000-P096018,IN: Assam State Roads Project,The World Bank,320000000,39062081,USD
46004-37328-013-LN2330,MADHYA PRADESH STATE ROADS SECTOR PROJECT II,Asian Development Bank,320000000,316830958,USD
46004-41627-053-LN2914,HIMACHAL PRADESH CLEAN ENERGY DEVELOPMENT INVESTMENT PROGRAM T-4,Asian Development Bank,315000000,30938179,USD
46004-42513-013-LN2705,Karnataka State Highway Improvement Project,Asian Development Bank,315000000,81198376,USD
44000-P144726,National Cyclone Risk Mitigation Proj-II,The World Bank,308400000,0,USD
44000-P071250,IN:AP and Telangana Municipal Devlpmnt,The World Bank,300000000,66414207,USD
44000-P119043,IN: Microf-Scaling Up Sustnble,The World Bank,300000000,303240328,USD
44000-P143751,IN:  TN Roads II,The World Bank,300000000,0,USD
44000-P150394,MP Higher Education Quality Improvement,The World Bank,300000000,0,USD
46004-40655-033-LN2404,MFF-INDIA INFRASTRUCTURE PROJECT FINANCING FACILITY-PROJECT 1,Asian Development Bank,300000000,299999999,USD
46004-41629-013-LN2663,BIHAR STATE HIGHWAYS II PROJECT,Asian Development Bank,300000000,110905076,USD
46004-43063-013-LN2736,Madhya Pradesh State Roads Project III,Asian Development Bank,300000000,193833973,USD
46004-44425-013-LN2894,BIHAR STATE HIGHWAYS II PROJECT-ADDITIONAL FINANCING,Asian Development Bank,300000000,68621491,USD
46004-44427-013-LN2981,CHHATTISGARH STATE ROAD SECTOR PROJECT,Asian Development Bank,300000000,0,USD
46004-47341-002-LN3118,SOUTH ASIA SUBREGIONAL ECONOMIC COOPERATION ROAD CONNECTIVITY INVESTMENT PROGRAM - TRANCHE 1,Asian Development Bank,300000000,0,USD
DAC-1601-OPP50494,UNICEF Headquarters,Bill & Melinda Gates Foundation,299763679,299763679,USD
44000-P084790,IN: MAHAR WSIP,The World Bank,298278127,298278127,USD
47045-IDA-202-G02-H-00,"HIV prevention and care for mothers, their families and PLWHA through scaling up PMTCT services and public private sector antiretroviral treatment","The Global Fund to Fight AIDS, Tuberculosis and Malaria",292940411,567721962,USD
44000-P083780,IN: TN Urban III,The World Bank,290696542,290696543,USD
XM-DAC-701-8-2014003076,New and Renewable Energy Development Project (Phase 2),Japan - Japan International Cooperation Agency (JICA),288702404,0,USD
XM-DAC-701-8-2014003077,"Micro, Small and Medium Enterprises Energy Saving Project 3",Japan - Japan International Cooperation Agency (JICA),288702404,0,USD
47045-IDA-T-CTD,"Consolidating and scaling-up the revised national tuberculosis control program (RNTCP) to achieve Tuberculosis-related MDGs, provide universal access to drug resistant TB control services,","The Global Fund to Fight AIDS, Tuberculosis and Malaria",282904961,505253182,USD
44000-P099047,IN: Vocational Training,The World Bank,280000000,231724265,USD
44000-P089985,IN: Dam Rehabilitation,The World Bank,279299941,19448410,USD
XM-DAC-918-3-20130339-83176,IIFCL ENERGY SUSTAINABILITY AND CLIMATE ACTION FL,European Investment Bank,276447834,0,USD
46004-40423-033-LN3065,MFF:RURAL CONNECTIVITY INVESTMENT PROGRAM-TRANCHE 2,Asian Development Bank,275000000,71492311,USD
44000-P079708,IN: TN Empwr,The World Bank,274000000,224236450,USD
XM-DAC-918-3-20130338-83095,IREDA-RENEWABLE ENERGY AND ENERGY EFFICIENCY FL,European Investment Bank,273121209,0,USD
44000-P096021,IN: AP Road Sector Project,The World Bank,264000000,134355488,USD
44000-P094360,IN: Ntnl VBD Control,The World Bank,261295607,234437100,USD
44000-P050653,IN: KARNATAKA RWSS II,The World Bank,260872680,289567813,USD
XM-DAC-701-8-2014003050,Haryana Distribution System Upgradation Project,Japan - Japan International Cooperation Agency (JICA),257907481,0,USD
44000-P130299,National AIDS Control Support Project,The World Bank,255000000,39588499,USD
44000-P107648,National Dairy Support Project,The World Bank,254785793,41537793,USD
XM-DAC-47086-InfraCo%20Asia%20Development,InfraCo Asia Development Pte. Ltd,Private Infrastructure Development Group,253589368,75519780,USD
46004-40423-023-LN2881,RURAL CONNECTIVITY INVESTMENT PROGRAM-TRANCHE 1,Asian Development Bank,252000000,134094154,USD
44000-P090585,IN: Punjab State Road Sector Project,The World Bank,250000000,179870831,USD
46004-41036-033-LN2717,MFF-SECOND INDIA INFRASTRUCTURE PROJ. FINANCING FACILITY-T2,Asian Development Bank,250000000,250000000,USD
44000-P105311,IN: WB Minor Irrigation Project,The World Bank,250000000,15460818,USD
44000-P132665,IN: Bihar Teacher Education ICT,The World Bank,250000000,0,USD
44000-P146653,Uttarakhand Disasater Recovery Project,The World Bank,250000000,50546204,USD
44000-P154847,Andhra Pradesh Disaster Recovery Project,The World Bank,250000000,0,USD
44000-P154990,Jhelum and Tawi Flood Recovery Proj,The World Bank,250000000,0,USD
44000-P150520,IN Punjab Rural Water Sector Imprv Proje,The World Bank,248000000,620000,USD
44000-P078538,IN: Third National HIV/AIDS Control Proj,The World Bank,242058679,252407088,USD
46004-41036-043-LN2822,SECOND INDIA INFRASTRUCTURE PROJECT FINANCING FACILITY-TRANCE 3,Asian Development Bank,240000000,239999999,USD
XM-DAC-701-8-2013003010,Bihar National Highway Improvement Project,Japan - Japan International Cooperation Agency (JICA),236260709,0,USD
44000-P143382,IN: TN Puducherry DRR,The World Bank,236000000,78987363,USD
46004-37066-063-LN2651,MFF-RURAL ROADS SECTOR II INVESTMENT PROGRAM-PROJECT 5,Asian Development Bank,222199999,192258219,USD
44000-P097985,IN: Integrated Coastal Zone Mgmt Project,The World Bank,221965000,83864927,USD
46004-32300-013-LN2226,Kerala Sustainable Urban Development Project,Asian Development Bank,221199999,106347678,USD
44000-P102549,IN: Tech Engr Educ Qual Improvement II,The World Bank,220004478,102336993,USD
44000-P079675,IN: Karn Municipal Reform,The World Bank,216000000,197357934,USD
44000-P130339,IN: Kerala State Transport Project II,The World Bank,216000000,23938263,USD
44000-P071160,IN: Karnataka Health System Dev,The World Bank,211830000,168834303,USD
46004-41036-023-LN2586,MFF-SECOND INDIA PROJECT FINANCING FACILITY-PROJECT 1,Asian Development Bank,210000000,210000000,USD
44000-P075058,IN: TN Health Systems,The World Bank,208473638,199451483,USD
46004-41627-043-LN2687,MFF-Himachal Pradesh Clean Energy Devt. Investment Program-Trnche,Asian Development Bank,208000000,142818902,USD
XM-DAC-701-8-2014003008,Bihar National Highway Improvement Project (Phase 2),Japan - Japan International Cooperation Agency (JICA),200609677,0,USD
44000-P102624,IN:Kerala Local Govt.,The World Bank,200000000,125642376,USD
44000-P105990,IN: West Bengal PRI,The World Bank,200000000,198704999,USD
44000-P145502,TECHNOLOGY CENTER SYSTEMS PROJECT,The World Bank,200000000,1186424,USD
46004-39630-033-LN2510,MFF-NATIONAL POWER GRID DEVELOPMENT INVESTMENT PROGRAM-TRANCHE2,Asian Development Bank,200000000,119594243,USD
46004-40005-013-LN2594,JHARKHAND STATE ROADS PROJECT,Asian Development Bank,200000000,111906415,USD
46004-40655-043-LN2509,MFF-INDIA INFRASTRUCTURE PROJECT FINANCING FACILITY-PROJECT 2,Asian Development Bank,200000000,200000000,USD
46004-43467-015-LN2764,MADHYA PRADESH ENERGY EFFICIENCY IMPROVEMENT INVESTMENT PROG-T1,Asian Development Bank,200000000,79743890,USD
46004-43467-016-LN2830,MADHYA PRADESH ENERGY EFFICIENCY IMPROVEMENT INVESTMENT PROG-T2,Asian Development Bank,200000000,83826970,USD
46004-47229-001-LN3055,UTTARAKHAND EMERGENCY ASSISTANCE PROJECT,Asian Development Bank,200000000,10810071,USD
46004-45288-002-LN3187,PUNJAB DEVELOPMENT FINANCE PROGRAM,Asian Development Bank,199999999,50000000,USD
47134-XCTFIN209A,Solar Park:  Rajasthan,Climate Investment Funds-Clean Technology Fund,199905000,0,USD
44000-P112033,IN: UP Sodic III,The World Bank,197000000,114856790,USD
44000-P102771,IN:  IIFCL - India Infras Finance Co Ltd,The World Bank,195000000,195000001,USD
44000-P084792,IN: Assam Agric Competitiveness,The World Bank,194000380,173429813,USD
44000-P092735,IN: NAIP,The World Bank,190000380,201247966,USD
GB-1-107859-101,National AIDS Control Programme Phase  Iii - Financial Aid,UK - Department for International Development (DFID),188441214,191561900,USD
46004-37066-053-LN2535,MFF-RURAL ROADS SECTOR II INVESTMENT PROGRAM-PROJECT 4,Asian Development Bank,185000000,184999999,USD
46004-37066-023-LN2248,MFF-RURAL ROADS SECTOR II INVESTMENT PROGRAM (SUBPROJECT I),Asian Development Bank,180000000,173909438,USD
44000-P132739,IN: Natl Watersheds (Neeranchal),The World Bank,178500000,0,USD
46004-46417-001-LN3062,JAIPUR METRO RAIL LINE 1-PHASE B,Asian Development Bank,176000000,13541849,USD
44000-P114827,Second Gujarat State Highway Project,The World Bank,175000000,24804767,USD
44000-P078539,IN: TB II,The World Bank,169996839,178850420,USD
44000-P122096,IN: Bihar Kosi Flood Recovery Project,The World Bank,169935196,70517296,USD
GB-1-107906-101,SECTORBUDGETSUPPORT and P0053 for Health Sector support,UK - Department for International Development (DFID),166301009,168744756,USD
46004-32298-063-LN2520,MFF-MADHYA PRADESH POWER SECTOR INVESTMENT PROGRAM-PROJECT 5,Asian Development Bank,166000000,134017757,USD
44000-P126325,IN: Maha RWSSP,The World Bank,165000000,0,USD
XM-DAC-701-8-2014003006,Campus Development Project of IITH (Phase2),Japan - Japan International Cooperation Agency (JICA),164589240,0,USD
44000-P090764,IN: Bihar Rural Livelihoods  Project,The World Bank,163000000,119821577,USD
44000-P096023,IN: Orissa State Roads,The World Bank,163000000,64724303,USD
44000-P130164,IN: Rajasthan Road Sector Modernization,The World Bank,160000000,73814534,USD
GB-1-113394-101,DO NOT USE - NONBUDSUPPFINAID and P0053 for MP Health sector support,UK - Department for International Development (DFID),156703747,125905709,USD
XM-DAC-701-8-2014003048,Agra Water Supply Project (II),Japan - Japan International Cooperation Agency (JICA),156659548,0,USD
44000-P121774,IN: Kerala RWSSP II,The World Bank,155300000,36665065,USD
44000-P090592,IN: Punjab Rural Water Supply,The World Bank,153769067,140734767,USD
44000-P148868,Odisha Disaster Recovery Project,The World Bank,153000000,28041522,USD
44000-P100304,IN: UP Health Sys Strengthening Project,The World Bank,152000000,23242270,USD
46004-36330-023-LN2793,RAILWAY SECTOR INVESTMENT PROGRAM-TRANCHE 1,Asian Development Bank,150000000,62708079,USD
46004-37139-053-LN2924,UTTARAKHAND POWER SECTOR INVESTMENT PROGRAM-PROJECT 4,Asian Development Bank,150000000,7281325,USD
46004-38255-043-LN3040,MFF:UTTARAKHAND STATE-ROAD INVESTMENT PROGRAM - TRANCHE 3,Asian Development Bank,150000000,24215794,USD
46004-40031-033-LN2506,MFF-RAJASTHAN URBAN SECTOR DEVT INVESTMENT PROGRAM-PROJECT 2,Asian Development Bank,150000000,95145385,USD
46004-41627-023-LN2461,MFF-HIMACHAL PRADESH CLEAN ENERGY DEV'T INVESTMENT PROGRAM-TR1,Asian Development Bank,150000000,138393743,USD
46004-42151-013-LN2452,KHADI REFORM AND DEVELOPMENT PROGRAM,Asian Development Bank,150000000,20000000,USD
44000-P083187,IN: Uttarakhand RWSS Project,The World Bank,144000000,125441963,USD
46004-32298-043-LN2346,MFF-MADHYA PRADESH POWER SECTOR INVESTMENT PROGRAM TRANCHE 3,Asian Development Bank,144000000,141911021,USD
GB-CHC-1076235-GB-1-202629,Global Grant to BBC Media Action,BBC Media Action,142215320,105162925,USD
XM-DAC-701-8-2013003056,West Bengal Piped Water Supply Project (Purulia),Japan - Japan International Cooperation Agency (JICA),140889935,0,USD
46004-38255-033-LN2458,MFF-UTTARAKHAND STATE ROAD INVESTMENT PROGRAM-PROJECT 2,Asian Development Bank,140000000,106235238,USD
GB-1-113395-101,NONBUDSUPPFINAID and P0053 for Orissa health sector support,UK - Department for International Development (DFID),138005683,111358905,USD
47122-15-IND-04C-X,New vaccine support (NVS) for PENTA,GAVI Alliance,137106592,95403058,USD
44000-P100101,IN: Coal-Fired Generation Rehabilitation,The World Bank,136160000,55842609,USD
