PROJECT_ID,PROJECT_DESCR,PROJECT_LOCATIONS_COUNT,PARTNER_DESCR,PointName,POINT_PROJECTS_COUNT,PointType,lat,lng,GeoPrecisionDescr,COUNTRY,ADM1,ADM2,ADM3,LOCALITY,SUB_LOCALITY,NEIGHBOURHOOD
91453,00091453 Global ICCA Initiative Support - Support to indigenous peoples’ and community conserved areas and territories (ICCAs),26,UNDP Multi Partner Trust Funds,Kenya,6,marker,-0.023559,37.906193,"The location can only be related to an independent political entity, meaning the pair of coordinates that represent a country.",Kenya,Eastern,Meru District,,,,
91453,00091453 Global ICCA Initiative Support - Support to indigenous peoples’ and community conserved areas and territories (ICCAs),26,United Nations Environment Programme (UNEP),Kenya,6,marker,-0.023559,37.906193,"The location can only be related to an independent political entity, meaning the pair of coordinates that represent a country.",Kenya,Eastern,Meru District,,,,
91453,00091453 Global ICCA Initiative Support - Support to indigenous peoples’ and community conserved areas and territories (ICCAs),26,United Nations Human Settlement Programme (UN-HABITAT),Kenya,6,marker,-0.023559,37.906193,"The location can only be related to an independent political entity, meaning the pair of coordinates that represent a country.",Kenya,Eastern,Meru District,,,,
91453,00091453 Global ICCA Initiative Support - Support to indigenous peoples’ and community conserved areas and territories (ICCAs),26,United Nations Office on Drugs and Crime (UNODC) ,Kenya,6,marker,-0.023559,37.906193,"The location can only be related to an independent political entity, meaning the pair of coordinates that represent a country.",Kenya,Eastern,Meru District,,,,
91453,00091453 Global ICCA Initiative Support - Support to indigenous peoples’ and community conserved areas and territories (ICCAs),26,UNDP,Kenya,6,marker,-0.023559,37.906193,"The location can only be related to an independent political entity, meaning the pair of coordinates that represent a country.",Kenya,Eastern,Meru District,,,,
81554,00081554 Small Grants Programme Fifth Operational Phase - Full Size Project,1,UNDP Multi Partner Trust Funds,Kenya,6,marker,-0.023559,37.906193,"The location can only be related to an independent political entity, meaning the pair of coordinates that represent a country.",Kenya,Eastern,Meru District,,,,
81554,00081554 Small Grants Programme Fifth Operational Phase - Full Size Project,1,United Nations Environment Programme (UNEP),Kenya,6,marker,-0.023559,37.906193,"The location can only be related to an independent political entity, meaning the pair of coordinates that represent a country.",Kenya,Eastern,Meru District,,,,
81554,00081554 Small Grants Programme Fifth Operational Phase - Full Size Project,1,United Nations Human Settlement Programme (UN-HABITAT),Kenya,6,marker,-0.023559,37.906193,"The location can only be related to an independent political entity, meaning the pair of coordinates that represent a country.",Kenya,Eastern,Meru District,,,,
81554,00081554 Small Grants Programme Fifth Operational Phase - Full Size Project,1,United Nations Office on Drugs and Crime (UNODC) ,Kenya,6,marker,-0.023559,37.906193,"The location can only be related to an independent political entity, meaning the pair of coordinates that represent a country.",Kenya,Eastern,Meru District,,,,
81554,00081554 Small Grants Programme Fifth Operational Phase - Full Size Project,1,UNDP,Kenya,6,marker,-0.023559,37.906193,"The location can only be related to an independent political entity, meaning the pair of coordinates that represent a country.",Kenya,Eastern,Meru District,,,,
79584,00079584 Support to the United Nations Office on Drugs and Crime (UNODC) Anti-Piracy Activities,3,UNDP Multi Partner Trust Funds,Kenya,6,marker,-0.023559,37.906193,"The location can only be related to an independent political entity, meaning the pair of coordinates that represent a country.",Kenya,Eastern,Meru District,,,,
79584,00079584 Support to the United Nations Office on Drugs and Crime (UNODC) Anti-Piracy Activities,3,United Nations Environment Programme (UNEP),Kenya,6,marker,-0.023559,37.906193,"The location can only be related to an independent political entity, meaning the pair of coordinates that represent a country.",Kenya,Eastern,Meru District,,,,
79584,00079584 Support to the United Nations Office on Drugs and Crime (UNODC) Anti-Piracy Activities,3,United Nations Human Settlement Programme (UN-HABITAT),Kenya,6,marker,-0.023559,37.906193,"The location can only be related to an independent political entity, meaning the pair of coordinates that represent a country.",Kenya,Eastern,Meru District,,,,
79584,00079584 Support to the United Nations Office on Drugs and Crime (UNODC) Anti-Piracy Activities,3,United Nations Office on Drugs and Crime (UNODC) ,Kenya,6,marker,-0.023559,37.906193,"The location can only be related to an independent political entity, meaning the pair of coordinates that represent a country.",Kenya,Eastern,Meru District,,,,
79584,00079584 Support to the United Nations Office on Drugs and Crime (UNODC) Anti-Piracy Activities,3,UNDP,Kenya,6,marker,-0.023559,37.906193,"The location can only be related to an independent political entity, meaning the pair of coordinates that represent a country.",Kenya,Eastern,Meru District,,,,
91206,00091206 Grant Management Support to UNEP for the EU funded SWITCH Africa Green Programme,6,UNDP Multi Partner Trust Funds,Kenya,6,marker,-0.023559,37.906193,"The location can only be related to an independent political entity, meaning the pair of coordinates that represent a country.",Kenya,Eastern,Meru District,,,,
91206,00091206 Grant Management Support to UNEP for the EU funded SWITCH Africa Green Programme,6,United Nations Environment Programme (UNEP),Kenya,6,marker,-0.023559,37.906193,"The location can only be related to an independent political entity, meaning the pair of coordinates that represent a country.",Kenya,Eastern,Meru District,,,,
91206,00091206 Grant Management Support to UNEP for the EU funded SWITCH Africa Green Programme,6,United Nations Human Settlement Programme (UN-HABITAT),Kenya,6,marker,-0.023559,37.906193,"The location can only be related to an independent political entity, meaning the pair of coordinates that represent a country.",Kenya,Eastern,Meru District,,,,
91206,00091206 Grant Management Support to UNEP for the EU funded SWITCH Africa Green Programme,6,United Nations Office on Drugs and Crime (UNODC) ,Kenya,6,marker,-0.023559,37.906193,"The location can only be related to an independent political entity, meaning the pair of coordinates that represent a country.",Kenya,Eastern,Meru District,,,,
91206,00091206 Grant Management Support to UNEP for the EU funded SWITCH Africa Green Programme,6,UNDP,Kenya,6,marker,-0.023559,37.906193,"The location can only be related to an independent political entity, meaning the pair of coordinates that represent a country.",Kenya,Eastern,Meru District,,,,
89552,00089552 Provision of Human Resources Services to UN-HABITAT,1,UNDP Multi Partner Trust Funds,Kenya,6,marker,-0.023559,37.906193,"The location can only be related to an independent political entity, meaning the pair of coordinates that represent a country.",Kenya,Eastern,Meru District,,,,
89552,00089552 Provision of Human Resources Services to UN-HABITAT,1,United Nations Environment Programme (UNEP),Kenya,6,marker,-0.023559,37.906193,"The location can only be related to an independent political entity, meaning the pair of coordinates that represent a country.",Kenya,Eastern,Meru District,,,,
89552,00089552 Provision of Human Resources Services to UN-HABITAT,1,United Nations Human Settlement Programme (UN-HABITAT),Kenya,6,marker,-0.023559,37.906193,"The location can only be related to an independent political entity, meaning the pair of coordinates that represent a country.",Kenya,Eastern,Meru District,,,,
89552,00089552 Provision of Human Resources Services to UN-HABITAT,1,United Nations Office on Drugs and Crime (UNODC) ,Kenya,6,marker,-0.023559,37.906193,"The location can only be related to an independent political entity, meaning the pair of coordinates that represent a country.",Kenya,Eastern,Meru District,,,,
89552,00089552 Provision of Human Resources Services to UN-HABITAT,1,UNDP,Kenya,6,marker,-0.023559,37.906193,"The location can only be related to an independent political entity, meaning the pair of coordinates that represent a country.",Kenya,Eastern,Meru District,,,,
94181,00094181 Grant Management Support to UNEP for the EU funded SWITCH Africa Green Programme,6,UNDP Multi Partner Trust Funds,Kenya,6,marker,-0.023559,37.906193,"The location can only be related to an independent political entity, meaning the pair of coordinates that represent a country.",Kenya,Eastern,Meru District,,,,
94181,00094181 Grant Management Support to UNEP for the EU funded SWITCH Africa Green Programme,6,United Nations Environment Programme (UNEP),Kenya,6,marker,-0.023559,37.906193,"The location can only be related to an independent political entity, meaning the pair of coordinates that represent a country.",Kenya,Eastern,Meru District,,,,
94181,00094181 Grant Management Support to UNEP for the EU funded SWITCH Africa Green Programme,6,United Nations Human Settlement Programme (UN-HABITAT),Kenya,6,marker,-0.023559,37.906193,"The location can only be related to an independent political entity, meaning the pair of coordinates that represent a country.",Kenya,Eastern,Meru District,,,,
94181,00094181 Grant Management Support to UNEP for the EU funded SWITCH Africa Green Programme,6,United Nations Office on Drugs and Crime (UNODC) ,Kenya,6,marker,-0.023559,37.906193,"The location can only be related to an independent political entity, meaning the pair of coordinates that represent a country.",Kenya,Eastern,Meru District,,,,
94181,00094181 Grant Management Support to UNEP for the EU funded SWITCH Africa Green Programme,6,UNDP,Kenya,6,marker,-0.023559,37.906193,"The location can only be related to an independent political entity, meaning the pair of coordinates that represent a country.",Kenya,Eastern,Meru District,,,,
73039,00073039 Provision of technical support to Ministry of Public Health and Sanitation (MOPHS) through the recruitment of additional field nutrition officers,20,United Nations Children's Fund (UNICEF),Ijara,1,marker,-0.0412274,40.0261985,"The location is, or lies in, a second order administrative division (ADM2), such as a district, municipality or commune.",Kenya,North Eastern,Garissa,,,,
94427,00094427 Technical Support for Video Conferencing,4,Peacekeeping Operations (DPKO),Entebbe,8,marker,0.05,32.46,"The coordinates corresponds to an exact location, such as a populated place or a hill.  The code is also used for locations that join a location which is a line (such as a road or railroad).",,Central Region,Wakiso,,Entebbe,,
94429,00094429 Technical Support for Strategic Technologies and Capacity Planning,4,Peacekeeping Operations (DPKO),Entebbe,8,marker,0.05,32.46,"The coordinates corresponds to an exact location, such as a populated place or a hill.  The code is also used for locations that join a location which is a line (such as a road or railroad).",,Central Region,Wakiso,,Entebbe,,
94440,00094440 Technical Support to GSC Operational Resilience,4,Peacekeeping Operations (DPKO),Entebbe,8,marker,0.05,32.46,"The coordinates corresponds to an exact location, such as a populated place or a hill.  The code is also used for locations that join a location which is a line (such as a road or railroad).",,Central Region,Wakiso,,Entebbe,,
